date,Kyoto,Niigata,Tokyo,Sapporo,Naha
2010/4/1,13.3,10.5,14.7,6.4,23.1
2010/4/2,10.8,7.8,15.2,5.5,19.5
2010/4/3,7.1,6.6,11.1,3.4,17.8
2010/4/4,10.6,7.5,8.8,5.4,21.1
2010/4/5,14.5,11.5,9.4,6.6,21.9
2010/4/6,15.9,11.8,14.8,5.2,21.3
2010/4/7,10.1,7.1,11.6,3.1,20.3
2010/4/8,10.7,6.7,8.9,3.9,19.4
2010/4/9,12.9,11.8,11.1,5.9,21.1
2010/4/10,17.7,15.2,15.6,8.9,22.1
2010/4/11,16.4,10.2,17.2,6.3,23.2
2010/4/12,15.3,8.3,8.6,5.2,24.8
2010/4/13,14.4,11.6,15.1,6.2,21.2
2010/4/14,9.5,6.7,13.9,2.2,19.6
2010/4/15,7.6,5.8,6.9,2.3,19.7
2010/4/16,8.3,6.8,5.2,5.2,18.7
2010/4/17,10.3,6.8,6.3,6.1,19.6
2010/4/18,12.1,8.5,12,4.7,21.7
2010/4/19,16,11.7,15.2,6,23.7
2010/4/20,14.8,14.8,15.6,5.3,24.7
2010/4/21,15.3,9.6,18.8,4.8,25.4
2010/4/22,11.3,7.7,9.1,5.1,25.5
2010/4/23,10.8,8.2,8.2,5.1,19.6
2010/4/24,9.6,8.6,11.2,5.5,19.4
2010/4/25,11.4,10.1,12.7,6.2,21
2010/4/26,14.3,11,14.4,5.9,22.6
2010/4/27,14.3,13.3,12.7,7.5,19.3
2010/4/28,16.5,13,14.1,5,19.5
2010/4/29,14,11.6,18.2,8.2,20.2
2010/4/30,12.4,11.3,15.2,8.2,20.1
2010/5/1,14.1,12.7,16.4,11.2,21.8
2010/5/2,16,14.6,17.9,13.6,22.8
2010/5/3,18.9,18.5,19,14.8,23.3
2010/5/4,21.5,18.7,20.6,14.8,23
2010/5/5,22.6,17.8,21.9,12.9,24.5
2010/5/6,22.8,21.3,22.4,14.2,25.8
2010/5/7,18.1,16.9,20.4,12.7,24.6
2010/5/8,17.8,15.4,19.7,8.5,23.5
2010/5/9,19.4,13.8,20.7,8.1,23.8
2010/5/10,16.9,13.9,19.1,8.1,22.8
2010/5/11,16,15.8,17.1,10,22.7
2010/5/12,13.6,11.5,16.4,8.5,22.8
2010/5/13,13.1,9.9,16.5,7.6,22.3
2010/5/14,12.9,9.3,15.4,7.8,19.3
2010/5/15,15.5,11.3,15.1,11.3,20.5
2010/5/16,18.6,15.8,17.3,14,21.9
2010/5/17,21,17.5,20.7,16.7,24.1
2010/5/18,21.5,18.8,21.6,15.8,25.7
2010/5/19,19.8,18.6,20.3,16.4,26.5
2010/5/20,21.3,18.8,20.2,13.6,26.8
2010/5/21,21.8,19.2,24.3,11.8,26.5
2010/5/22,23,19.6,23.4,13.2,27.1
2010/5/23,17.8,21,18.3,15.3,27.3
2010/5/24,19,18.1,18.1,13.3,22
2010/5/25,20.5,17.7,23.5,12.6,23.5
2010/5/26,17,15.5,17.6,13.4,24.7
2010/5/27,14.8,12.1,17.6,9.8,24
2010/5/28,14.2,10.9,18.5,10,22.7
2010/5/29,16.5,12,15.6,12.4,23.7
2010/5/30,16.8,14.7,14.5,13.1,23.8
2010/5/31,19.6,15.7,17.4,14.1,23.3
2010/6/1,19.8,16.8,17.6,14.4,24.4
2010/6/2,21.3,17.6,19.1,13.3,24.4
2010/6/3,20.1,18.4,20.9,12.5,24.6
2010/6/4,21.9,18.7,22.1,11.7,24
2010/6/5,22.6,17.9,20.2,14,24.5
2010/6/6,22,18.7,21.4,16,24.8
2010/6/7,22.5,19.5,23.1,15.5,25.2
2010/6/8,21.2,20.3,21.4,19.4,25.4
2010/6/9,22.6,20.2,20,17.6,25.5
2010/6/10,23.5,19.7,22.6,18.4,25.5
2010/6/11,24.7,20.9,22.6,19.6,24.1
2010/6/12,25.2,22.2,24.5,18.3,25.4
2010/6/13,21,22.7,23.2,20.9,25.8
2010/6/14,21.6,22.3,18.6,20.3,26.1
2010/6/15,22.2,23.4,23.1,20.3,26.3
2010/6/16,24,21.3,25.8,18.2,26.8
2010/6/17,26.1,23.2,26.7,17.3,27.6
2010/6/18,23,24.1,24.4,20.9,28
2010/6/19,25.2,22.4,25.2,21.7,28.3
2010/6/20,25.2,24.1,26.2,20.1,28.5
2010/6/21,24.8,22.6,25.9,20.8,28.6
2010/6/22,25.7,23.9,26.1,21.3,28.8
2010/6/23,23.6,21.7,24.2,19.9,27.7
2010/6/24,24.2,22.1,25.1,16.9,26.7
2010/6/25,23,23.2,26.2,22,28.1
2010/6/26,24.5,24.4,26.2,25,28.9
2010/6/27,26.8,23.6,26.6,24.4,29
2010/6/28,28.6,24.3,28,26.1,29
2010/6/29,26.2,23.6,26.4,24.6,29
2010/6/30,27.2,22.7,25.6,24.1,28.9
2010/7/1,27.6,23.8,27,22,27.8
2010/7/2,26.6,24.9,26.6,23.7,27.1
2010/7/3,24.7,25.7,26.2,24.2,28.8
2010/7/4,26.2,25.1,27.2,24.3,29.2
2010/7/5,27.1,24.3,26.8,20.8,29.4
2010/7/6,26.9,25.4,27.1,20.6,29.4
